primary_key,match_key,date,time_of_day,name_team_A,name_team_B,gametime,score_team_A,score_team_B,odd_win_team_A,odd_draw,odd_win_team_B,prob_win_team_A,prob_draw,prob_win_team_B
Bandirmaspor_versus_Tuzlaspor_time_2024-04-20 14:29:59,Bandirmaspor_versus_Tuzlaspor,2024-04-20,14:29:59,Bandirmaspor,Tuzlaspor,90'+1,1,1,6.0,1.22,9.0,0.15186666666666668,0.7468852459016394,0.10124444444444444
Ethio_Electric_SC_versus_Oromia_Police_Fc_time_2024-04-20 14:29:59,Ethio_Electric_SC_versus_Oromia_Police_Fc,2024-04-20,14:29:59,Ethio Electric SC,Oromia Police Fc,77',1,0,1.05,8.0,35.0,0.8611428571428571,0.113025,0.025834285714285716
Skövde_AIK_versus_Trelleborgs_FF_time_2024-04-20 14:29:59,Skövde_AIK_versus_Trelleborgs_FF,2024-04-20,14:29:59,Skövde AIK,Trelleborgs FF,74',1,0,1.27,4.0,14.0,0.7101181102362205,0.2254625,0.06441785714285715
FC_Rosengaard_1917_versus_Onsala_BK_time_2024-04-20 14:29:59,FC_Rosengaard_1917_versus_Onsala_BK,2024-04-20,14:29:59,FC Rosengaard 1917,Onsala BK,72',1,1,2.4,1.9,6.0,0.37549583333333336,0.4743105263157895,0.15019833333333335
Pattaya_United_FC_versus_Chanthaburi_time_2024-04-20 14:29:59,Pattaya_United_FC_versus_Chanthaburi,2024-04-20,14:29:59,Pattaya United FC,Chanthaburi,72',2,1,1.12,6.0,35.0,0.8205714285714285,0.15317333333333333,0.026258285714285713
Roea_(F)_versus_Vålerenga_(F)_time_2024-04-20 14:29:59,Roea_(F)_versus_Vålerenga_(F),2024-04-20,14:29:59,Roea (F),Vålerenga (F),71',0,2,80.0,20.0,1.0,0.011764750000000001,0.047059000000000004,0.94118
FC_Hirnyk-Sport_versus_Podillya_Khemlnitskiy_time_2024-04-20 14:29:59,FC_Hirnyk-Sport_versus_Podillya_Khemlnitskiy,2024-04-20,14:29:59,FC Hirnyk-Sport,Podillya Khemlnitskiy,71',1,0,1.45,3.4,8.0,0.622,0.26526470588235296,0.1127375
Istanbulspor_AS_versus_Fatih_Karagümrük_time_2024-04-20 14:30:14,Istanbulspor_AS_versus_Fatih_Karagümrük,2024-04-20,14:30:14,Istanbulspor AS,Fatih Karagümrük,87',1,1,11.0,1.45,3.3,0.08389545454545454,0.636448275862069,0.27965151515151515
1._FC_Kaiserslautern_versus_SV_Wehen_Wies._time_2024-04-20 14:30:14,1._FC_Kaiserslautern_versus_SV_Wehen_Wies.,2024-04-20,14:30:14,1. FC Kaiserslautern,SV Wehen Wies.,72',1,0,1.18,5.0,20.0,0.7722033898305085,0.18224,0.04556
Fortuna_Düsseldorf_versus_Greuther_Fürth_time_2024-04-20 14:30:14,Fortuna_Düsseldorf_versus_Greuther_Fürth,2024-04-20,14:30:14,Fortuna Düsseldorf,Greuther Fürth,71',1,0,1.16,5.5,22.0,0.7913706896551724,0.1669072727272727,0.04172681818181818
VfL_1899_Osnabrück_versus_Eintr._Braunschweig_time_2024-04-20 14:30:14,VfL_1899_Osnabrück_versus_Eintr._Braunschweig,2024-04-20,14:30:14,VfL 1899 Osnabrück,Eintr. Braunschweig,69',0,3,200.0,50.0,1.0,0.00487805,0.0195122,0.97561
Erzgebirge_Aue_versus_SpVgg_Unterhaching_time_2024-04-20 14:30:14,Erzgebirge_Aue_versus_SpVgg_Unterhaching,2024-04-20,14:30:14,Erzgebirge Aue,SpVgg Unterhaching,30',0,0,1.95,3.1,3.8,0.4668102564102564,0.29363870967741934,0.23954736842105265
Hallescher_FC_versus_SC_Verl_time_2024-04-20 14:30:14,Hallescher_FC_versus_SC_Verl,2024-04-20,14:30:14,Hallescher FC,SC Verl,30',0,0,2.2,2.9,3.4,0.41568181818181815,0.3153448275862069,0.26897058823529413
VfB_Lübeck_versus_Borussia_Dortmund_II_time_2024-04-20 14:30:14,VfB_Lübeck_versus_Borussia_Dortmund_II,2024-04-20,14:30:14,VfB Lübeck,Borussia Dortmund II,30',0,2,16.0,8.5,1.1,0.057379374999999996,0.10800823529411764,0.8346090909090907
RC_Celta_de_Vigo_versus_UD_Las_Palmas_time_2024-04-20 14:30:14,RC_Celta_de_Vigo_versus_UD_Las_Palmas,2024-04-20,14:30:14,RC Celta de Vigo,UD Las Palmas,29',0,1,3.1,3.2,2.2,0.29604838709677417,0.28679687499999995,0.41715909090909087
1860_München_versus_1._FC_Saarbrücken_time_2024-04-20 14:30:14,1860_München_versus_1._FC_Saarbrücken,2024-04-20,14:30:14,1860 München,1. FC Saarbrücken,28',0,1,10.0,5.0,1.27,0.091962,0.183924,0.7241102362204724
Dynamo_Dresden_versus_FC_Viktoria_Köln_time_2024-04-20 14:30:14,Dynamo_Dresden_versus_FC_Viktoria_Köln,2024-04-20,14:30:14,Dynamo Dresden,FC Viktoria Köln,28',0,0,1.35,4.5,8.0,0.6808518518518518,0.20425555555555555,0.11489375
